Country Name,Year,Total_Labor_Force
Nigeria,2000,59281872.0
Nigeria,2001,60772025.0
Nigeria,2002,62235800.0
Nigeria,2003,63693782.0
Nigeria,2004,65217367.0
Nigeria,2005,66741004.0
Nigeria,2006,68316893.0
Nigeria,2007,69975807.0
Nigeria,2008,71669029.0
Nigeria,2009,73499013.0
Nigeria,2010,75284751.0
Nigeria,2011,77225150.0
Nigeria,2012,79317244.0
Nigeria,2013,81303065.0
Nigeria,2014,83458627.0
Nigeria,2015,85773802.0
Nigeria,2016,88256929.0
Nigeria,2017,90905566.0
Nigeria,2018,93615892.0
Nigeria,2019,96335866.0
Nigeria,2020,97041268.0
Nigeria,2021,100887576.0
Nigeria,2022,105269418.0
Nigeria,2023,110075281.0
Nigeria,2024,113320742.0
Nigeria,2025,116581818.0
