Country Name,Year,Unemployment Rate
Nigeria,2000,3.953
Nigeria,2001,3.9
Nigeria,2002,3.669
Nigeria,2003,3.637
Nigeria,2004,3.59
Nigeria,2005,3.727
Nigeria,2006,3.749
Nigeria,2007,3.794
Nigeria,2008,3.792
Nigeria,2009,3.763
Nigeria,2010,3.744
Nigeria,2011,3.77
Nigeria,2012,3.761
Nigeria,2013,3.711
Nigeria,2014,3.9
Nigeria,2015,4.134
Nigeria,2016,4.499
Nigeria,2017,4.83
Nigeria,2018,5.069
Nigeria,2019,5.206
Nigeria,2020,5.714
Nigeria,2021,5.404
Nigeria,2022,3.827
Nigeria,2023,3.074
Nigeria,2024,3.045
Nigeria,2025,3.064
