geo_code,nigeria_born,total_occ,prof_occ,caring_occ,year,brain_waste_ratio
E07000200,21.0,40296.0,243.0,1940.0,2001,0.8886852954649564
E07000066,105.0,77773.0,405.0,3328.0,2001,0.8915081703723546
E06000055,118.0,70513.0,571.0,3493.0,2001,0.859498031496063
E07000067,39.0,66092.0,276.0,3599.0,2001,0.9287741935483871
E07000143,19.0,55612.0,238.0,3171.0,2001,0.9301848049281314
E07000068,42.0,32807.0,363.0,1367.0,2001,0.7901734104046243
E07000144,27.0,57964.0,340.0,3188.0,2001,0.9036281179138322
E07000095,75.0,43482.0,143.0,1719.0,2001,0.9232008592910849
E07000008,191.0,49236.0,913.0,1980.0,2001,0.6844106463878327
E07000069,22.0,41035.0,141.0,1849.0,2001,0.9291457286432161
E06000056,62.0,121032.0,500.0,5338.0,2001,0.9143542309009934
E07000070,94.0,80257.0,605.0,3334.0,2001,0.8464077176948465
E07000071,115.0,75126.0,629.0,4275.0,2001,0.8717373572593801
E07000096,72.0,69313.0,401.0,3120.0,2001,0.886111900028401
E07000009,13.0,37208.0,264.0,2155.0,2001,0.8908639933856966
E07000242,82.0,67534.0,616.0,2570.0,2001,0.8066541117388575
E07000072,96.0,57853.0,662.0,2219.0,2001,0.7702186740715029
E07000010,10.0,37757.0,125.0,2111.0,2001,0.9440966010733453
E07000201,9.0,28298.0,172.0,1783.0,2001,0.9120204603580563
E07000145,24.0,37584.0,248.0,2247.0,2001,0.9006012024048096
E07000073,51.0,38824.0,163.0,1850.0,2001,0.9190263288623944
E07000098,162.0,46003.0,491.0,1950.0,2001,0.7988529291274068
E07000011,44.0,82325.0,582.0,3909.0,2001,0.8704074816299265
E07000202,40.0,54091.0,359.0,2902.0,2001,0.8899110702238577
E07000146,30.0,60197.0,486.0,3434.0,2001,0.8760204081632653
E06000032,393.0,82362.0,346.0,4001.0,2001,0.9204048769266161
E07000074,11.0,28943.0,161.0,1357.0,2001,0.8939393939393939
E07000203,17.0,42629.0,258.0,2137.0,2001,0.8922755741127348
E07000099,72.0,58814.0,498.0,2642.0,2001,0.8414012738853504
E07000147,11.0,41411.0,235.0,2592.0,2001,0.9168730102582243
E07000148,68.0,53606.0,557.0,2568.0,2001,0.82176
E06000031,43.0,73295.0,466.0,3471.0,2001,0.8816357632715266
E07000075,10.0,37792.0,158.0,1580.0,2001,0.9090909090909091
E07000012,60.0,69159.0,852.0,3293.0,2001,0.7944511459589867
E07000149,24.0,52626.0,542.0,2714.0,2001,0.8335380835380836
E06000033,65.0,70177.0,491.0,3631.0,2001,0.8808830664725861
E07000240,58.0,65676.0,727.0,2615.0,2001,0.7824655894673848
E07000204,16.0,50181.0,411.0,2641.0,2001,0.8653342070773263
E07000243,68.0,39576.0,194.0,1985.0,2001,0.9109683340982102
E07000205,40.0,52327.0,437.0,2775.0,2001,0.863947696139477
E07000076,20.0,53642.0,227.0,4255.0,2001,0.9493529674252565
E07000102,53.0,40565.0,446.0,1680.0,2001,0.7902163687676388
E06000034,227.0,69534.0,213.0,2978.0,2001,0.9332497649639612
E07000077,22.0,35045.0,264.0,1452.0,2001,0.8461538461538461
E07000103,101.0,41648.0,244.0,1866.0,2001,0.8843601895734597
