geo_code,nigeria_born,total_occ,prof_occ,caring_occ,year,area_name,bw_index
E06000001,75.0,37757.0,5843.0,4381.0,2021,Hartlepool,0.428501564945185
E06000002,936.0,56436.0,8996.0,7579.0,2021,Middlesbrough,0.4572549019607567
E06000003,41.0,55620.0,8411.0,7428.0,2021,Redcar and Cleveland,0.4689690005681881
E06000004,350.0,86446.0,16673.0,8860.0,2021,Stockton-on-Tees,0.347001919085092
E06000005,149.0,49296.0,8465.0,4894.0,2021,Darlington,0.3663447862863712
E06000047,345.0,222216.0,37179.0,23113.0,2021,County Durham,0.3833510250116038
E06000057,208.0,140766.0,24715.0,15429.0,2021,Northumberland,0.3843413710641594
E08000021,2082.0,125078.0,30731.0,11694.0,2021,Newcastle upon Tyne,0.2756393635827867
E08000022,273.0,97267.0,21775.0,8832.0,2021,North Tyneside,0.2885614401934104
E08000023,135.0,62509.0,10191.0,6809.0,2021,South Tyneside,0.4005294117646823
E08000024,1245.0,117146.0,17727.0,12307.0,2021,Sunderland,0.4097689285476323
E08000037,462.0,87516.0,16612.0,8792.0,2021,Gateshead,0.3460872303574104
E06000006,82.0,58719.0,8771.0,5585.0,2021,Halton,0.3890359431596273
E06000007,366.0,103189.0,20850.0,8344.0,2021,Warrington,0.2858121531821509
E06000008,238.0,63556.0,10408.0,7201.0,2021,Blackburn with Darwen,0.4089386109375655
E06000009,159.0,59347.0,7498.0,8632.0,2021,Blackpool,0.5351518908865136
E06000049,521.0,192492.0,41211.0,15574.0,2021,Cheshire East,0.27426256934049
E06000050,475.0,169089.0,34739.0,14822.0,2021,Cheshire West and Chester,0.2990657977038337
E07000026,30.0,44233.0,7013.0,4685.0,2021,Allerdale,0.400495811249752
E07000027,178.0,31180.0,5714.0,3566.0,2021,Barrow-in-Furness,0.3842672413792689
E07000028,125.0,52950.0,7893.0,5248.0,2021,Carlisle,0.3993607792405144
E07000029,88.0,30572.0,5180.0,2944.0,2021,Copeland,0.3623830625307284
E07000030,7.0,27333.0,3790.0,2362.0,2021,Eden,0.3839401820545539
E07000031,20.0,50141.0,9050.0,4558.0,2021,South Lakeland,0.3349500293944492
E07000117,61.0,40029.0,5576.0,4772.0,2021,Burnley,0.4611519134131753
E07000118,98.0,57236.0,11870.0,5298.0,2021,Chorley,0.3085973904939242
E07000119,52.0,35715.0,7687.0,3422.0,2021,Fylde,0.308038527320163
E07000120,42.0,35627.0,4986.0,4414.0,2021,Hyndburn,0.4695744680850564
E07000121,330.0,62387.0,12490.0,7516.0,2021,Lancaster,0.3756872938118376
E07000122,15.0,39615.0,5700.0,4133.0,2021,Pendle,0.4203193328586982
E07000123,881.0,66640.0,12748.0,7165.0,2021,Preston,0.3598151961030302
E07000124,13.0,30388.0,6819.0,2519.0,2021,Ribble Valley,0.2697579781537513
E07000125,31.0,33122.0,6259.0,3507.0,2021,Rossendale,0.3591030104443621
E07000126,83.0,54711.0,10837.0,5029.0,2021,South Ribble,0.3169670994579404
E07000127,43.0,53554.0,9976.0,5224.0,2021,West Lancashire,0.3436842105262931
E07000128,59.0,47833.0,8584.0,5088.0,2021,Wyre,0.372147454651816
E08000001,1397.0,125437.0,21198.0,12393.0,2021,Bolton,0.3689381084218878
E08000002,453.0,88482.0,18355.0,8480.0,2021,Bury,0.3160052170672511
E08000003,10329.0,234282.0,55874.0,23595.0,2021,Manchester,0.2969082283657741
E08000004,1720.0,98205.0,14981.0,10614.0,2021,Oldham,0.4146903692127207
E08000005,1833.0,94458.0,15231.0,10293.0,2021,Rochdale,0.4032675129289922
E08000006,2932.0,127612.0,26142.0,11882.0,2021,Salford,0.312486850410259
E08000007,484.0,139808.0,34323.0,12149.0,2021,Stockport,0.2614262351523442
E08000008,866.0,105657.0,15923.0,10885.0,2021,Tameside,0.4060355117875109
E08000009,774.0,111557.0,32126.0,7792.0,2021,Trafford,0.1952001603286689
E08000010,706.0,154611.0,25064.0,16475.0,2021,Wigan,0.396615229061836
E08000011,342.0,69501.0,10587.0,8358.0,2021,Knowsley,0.4411718131432863
E08000012,2545.0,205752.0,42403.0,21874.0,2021,Liverpool,0.3403083529100558
E08000013,164.0,82624.0,14074.0,9171.0,2021,St. Helens,0.394536459453629
E08000014,271.0,124601.0,23148.0,13735.0,2021,Sefton,0.3723937857549448
E08000015,279.0,139506.0,27893.0,15614.0,2021,Wirral,0.3588847771622875
E06000010,882.0,117789.0,14559.0,13115.0,2021,"Kingston upon Hull, City of",0.4739105297390881
E06000011,141.0,156113.0,28216.0,14891.0,2021,East Riding of Yorkshire,0.3454427355185853
E06000012,240.0,68849.0,8488.0,7344.0,2021,North East Lincolnshire,0.4638706417382223
E06000013,152.0,76219.0,10320.0,7321.0,2021,North Lincolnshire,0.4149991497080429
E06000014,260.0,96194.0,23460.0,8465.0,2021,York,0.2651527016444709
E07000163,14.0,27142.0,5437.0,2281.0,2021,Craven,0.2955428867581892
