
"QS203EW - Country of birth (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 25 March 2026]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Country of Birth:","All categories: Country of birth"

"postcode districts","mnemonic","row","Total","Urban (total)","Rural (total)"

"AL1","AL1",1,36180,0,0
"AL10","AL10",2,35900,0,0
"AL2","AL2",3,23604,0,0
"AL3","AL3",4,28462,0,0
"AL4","AL4",5,27268,0,0
"AL5","AL5",6,30240,0,0
"AL6","AL6",7,11222,0,0
"AL7","AL7",8,33890,0,0
"AL8","AL8",9,13252,0,0
"AL9","AL9",10,10409,0,0
"B1","B1",11,7989,0,0
"B10","B10",12,25908,0,0
"B11","B11",13,44704,0,0
"B12","B12",14,20755,0,0
"B13","B13",15,36817,0,0
"B14","B14",16,43413,0,0
"B15","B15",17,18221,0,0
"B16","B16",18,23770,0,0
"B17","B17",19,25563,0,0
"B18","B18",20,16283,0,0
"B19","B19",21,20068,0,0
"B2","B2",22,616,0,0
"B20","B20",23,34089,0,0
"B21","B21",24,30326,0,0
"B23","B23",25,42870,0,0
"B24","B24",26,28870,0,0
"B25","B25",27,16005,0,0
"B26","B26",28,32826,0,0
"B27","B27",29,24834,0,0
"B28","B28",30,30036,0,0
"B29","B29",31,42024,0,0
"B3","B3",32,2574,0,0
"B30","B30",33,29084,0,0
"B31","B31",34,54302,0,0
"B32","B32",35,38518,0,0
"B33","B33",36,34513,0,0
"B34","B34",37,19327,0,0
"B35","B35",38,9971,0,0
"B36","B36",39,34751,0,0
"B37","B37",40,35728,0,0
"B38","B38",41,21354,0,0
"B4","B4",42,4683,0,0
"B42","B42",43,24367,0,0
"B43","B43",44,28441,0,0
"B44","B44",45,37091,0,0
"B45","B45",46,30185,0,0
"B46","B46",47,12072,0,0
"B47","B47",48,9355,0,0
"B48","B48",49,5796,0,0
"B49","B49",50,10189,0,0
"B5","B5",51,11983,0,0
"B50","B50",52,5350,0,0
"B6","B6",53,19664,0,0
"B60","B60",54,27951,0,0
"B61","B61",55,23470,0,0
"B62","B62",56,24401,0,0
"B63","B63",57,36431,0,0
"B64","B64",58,16528,0,0
"B65","B65",59,23770,0,0
"B66","B66",60,21334,0,0
"B67","B67",61,30387,0,0
"B68","B68",62,30588,0,0
"B69","B69",63,28958,0,0
"B7","B7",64,8546,0,0
"B70","B70",65,27992,0,0
"B71","B71",66,30990,0,0
"B72","B72",67,9569,0,0
"B73","B73",68,22801,0,0
"B74","B74",69,32470,0,0
"B75","B75",70,26687,0,0
"B76","B76",71,21651,0,0
"B77","B77",72,57313,0,0
"B78","B78",73,24374,0,0
"B79","B79",74,22126,0,0
"B8","B8",75,41929,0,0
"B80","B80",76,7060,0,0
"B9","B9",77,24903,0,0
"B90","B90",78,45359,0,0
"B91","B91",79,33166,0,0
"B92","B92",80,37245,0,0
"B93","B93",81,19706,0,0
"B94","B94",82,7380,0,0
"B95","B95",83,5663,0,0
"B96","B96",84,5073,0,0
"B97","B97",85,33494,0,0
"B98","B98",86,50058,0,0
"BA1","BA1",87,40723,0,0
"BA10","BA10",88,3739,0,0
"BA11","BA11",89,32454,0,0
"BA12","BA12",90,28508,0,0
"BA13","BA13",91,20224,0,0
"BA14","BA14",92,48138,0,0
"BA15","BA15",93,13139,0,0
"BA16","BA16",94,13041,0,0
"BA2","BA2",95,73752,0,0
"BA20","BA20",96,10865,0,0
"BA21","BA21",97,33619,0,0
"BA22","BA22",98,18166,0,0
"BA3","BA3",99,34710,0,0
"BA4","BA4",100,17775,0,0
"BA5","BA5",101,17534,0,0
"BA6","BA6",102,12870,0,0
"BA7","BA7",103,3514,0,0
"BA8","BA8",104,4153,0,0
"BA9","BA9",105,7242,0,0
"BB1","BB1",106,66545,0,0
"BB10","BB10",107,37432,0,0
"BB11","BB11",108,22221,0,0
"BB12","BB12",109,34613,0,0
"BB18","BB18",110,17179,0,0
"BB2","BB2",111,59924,0,0
"BB3","BB3",112,34503,0,0
"BB4","BB4",113,41401,0,0
"BB5","BB5",114,61102,0,0
"BB6","BB6",115,14659,0,0
"BB7","BB7",116,31699,0,0
"BB8","BB8",117,23041,0,0
"BB9","BB9",118,44598,0,0
"BD1","BD1",119,3836,0,0
"BD10","BD10",120,25882,0,0
"BD11","BD11",121,11355,0,0
"BD12","BD12",122,16685,0,0
"BD13","BD13",123,24979,0,0
"BD14","BD14",124,8871,0,0
"BD15","BD15",125,15316,0,0
"BD16","BD16",126,25803,0,0
"BD17","BD17",127,17901,0,0
"BD18","BD18",128,27258,0,0
"BD19","BD19",129,22019,0,0
"BD2","BD2",130,28566,0,0
"BD20","BD20",131,35315,0,0
