
"annual population survey - regional - employment by occupation (SOC2010)"
"ONS Crown Copyright Reserved [from Nomis on 25 March 2026]"
"Analysis   :","standard"
"Date       :","Jan 2020-Dec 2020"
"Sex        :","All persons"
"measure    :","Count"
"Confidence :","95% confidence interval (+/-)"

"Occupation","North East","Conf","North West","Conf","Yorkshire and The Humber","Conf","East Midlands","Conf","West Midlands","Conf","East","Conf","London","Conf","South East","Conf","South West","Conf","Wales","Conf","Scotland","Conf","Northern Ireland","Conf"

"Total",1200100,30800,3432700,64000,2596500,58700,2309100,63700,2755700,61800,3061300,70800,4740300,106400,4578600,81600,2743600,58400,1445900,28600,2609400,48700,840500,27500
"1 Managers, directors and senior officials",103900,9100,358400,20700,264700,18800,260600,21400,290000,20000,391900,25300,633600,38900,579600,29000,325000,20100,145400,9100,232400,14500,69400,7900
"11 Corporate managers and directors",67100,7300,256400,17500,197500,16200,189000,18200,213200,17200,289800,21800,479700,33800,436500,25200,225900,16800,97800,7400,162600,12200,43400,6200
"111 Chief Executives and Senior Officials",2600,1400,8400,3200,5200,2600,5700,3200,3400,"*",11100,4300,43100,10100,19800,5400,9000,3300,3300,1400,5900,2300,1300,"*"
"1115 Chief executives and senior officials",2100,1300,7700,3000,4500,2400,5700,3200,3100,"*",10200,4100,40000,9800,18200,5100,8100,3200,1700,1000,5300,2200,1300,"*"
"1116 Elected officers and representatives","~","!",700,"*",700,"*","!","!","~","!",900,"*",3200,"*",1600,"*",900,"*",1500,900,600,"*","!","!"
"112 Production Managers and Directors",20000,4000,65500,8800,49600,8100,46100,9000,46200,8000,61100,10000,47300,10600,74800,10400,53900,8200,24500,3700,32900,5500,9000,2900
"1121 Production managers and directors in manufacturing",10700,2900,44800,7300,34200,6700,31900,7500,32600,6700,33200,7400,26000,7900,44700,8100,31700,6300,15200,2900,21700,4400,5900,2300
"1122 Production managers and directors in construction",8500,2600,18200,4700,14000,4300,14000,5000,12900,4200,27700,6700,20300,7000,28500,6400,21500,5200,9400,2300,8900,2800,2600,1500
"1123 Production managers and directors in mining and energy",800,"*",2500,"*",1400,"*","~","!",700,"!","~","!",900,"*",1600,"*",700,"*","!","!",2300,1400,"~","!"
"113 Functional Managers and Directors",23500,4300,101600,11000,82900,10500,70400,11100,89100,11100,141100,15200,268600,25300,225700,18100,92600,10700,35500,4500,65300,7700,16200,3800
"1131 Financial managers and directors",7900,2500,28000,5800,25300,5800,22300,6300,23400,5700,49500,9000,93800,15000,67200,9900,31300,6200,9800,2400,20900,4400,3900,1900
"1132 Marketing and sales directors",2900,1500,21500,5100,14500,4400,13100,4800,19000,5100,26100,6500,60200,12000,53400,8800,15900,4400,5400,1700,9800,3000,3000,1700
