
"RM104 - Occupation by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 11 March 2026]"
"Population :","All usual residents aged 16 years and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2021"
"Ethnic group:","Total"

"local authority: district / unitary (as of April 2023)","mnemonic","Total","2. Professional occupations","6. Caring, leisure and other service occupations"

"Babergh","E07000200",42952,7360,3946
"Basildon","E07000066",89014,15366,7924
"Bedford","E06000055",90868,18283,8130
"Braintree","E07000067",76286,12192,7290
"Breckland","E07000143",65640,8543,7031
"Brentwood","E07000068",37899,8922,2534
"Broadland","E07000144",62584,11297,6116
"Broxbourne","E07000095",48304,7766,4033
"Cambridge","E07000008",70603,29960,4823
"Castle Point","E07000069",41004,5838,3805
"Central Bedfordshire","E06000056",151073,29382,12379
"Chelmsford","E07000070",89857,20713,6874
"Colchester","E07000071",92020,18906,9683
"Dacorum","E07000096",77209,16172,6181
"East Cambridgeshire","E07000009",44695,9646,4144
"East Hertfordshire","E07000242",76525,17042,5868
"East Suffolk","E07000244",106367,16909,11323
"Epping Forest","E07000072",65791,13155,4586
"Fenland","E07000010",47105,5250,4963
"Great Yarmouth","E07000145",41139,4909,5347
"Harlow","E07000073",45984,6890,4799
"Hertsmere","E07000098",52764,12243,4296
"Huntingdonshire","E07000011",91390,18417,7497
"Ipswich","E07000202",67024,11334,7133
"King's Lynn and West Norfolk","E07000146",69216,9527,7567
"Luton","E06000032",98714,15550,10527
"Maldon","E07000074",31258,4980,2414
"Mid Suffolk","E07000203",50028,8951,4341
"North Hertfordshire","E07000099",67155,17135,4991
"North Norfolk","E07000147",41663,5303,4957
"Norwich","E07000148",65722,14691,6761
"Peterborough","E06000031",100969,15830,9135
"Rochford","E07000075",40654,7360,3316
"South Cambridgeshire","E07000012",82267,26002,5937
"South Norfolk","E07000149",67743,14378,6212
"Southend-on-Sea","E06000033",83259,15911,8171
"St Albans","E07000240",72876,22216,4418
"Stevenage","E07000243",45456,8725,4601
"Tendring","E07000076",58279,7455,7829
"Three Rivers","E07000102",46938,11673,3421
"Thurrock","E06000034",85947,12526,7212
"Uttlesford","E07000077",45740,9467,3476
"Watford","E07000103",52854,12275,4572
"Welwyn Hatfield","E07000241",58146,12149,4983
"West Suffolk","E07000245",89616,14748,9250



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""







"RM104 - Occupation by ethnic group"
"ONS Crown Copyright Reserved [from Nomis on 11 March 2026]"
"Population :","All usual residents aged 16 years and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2021"
"Ethnic group:","Black, Black British, Black Welsh, Caribbean or African"

"local authority: district / unitary (as of April 2023)","mnemonic","Total","2. Professional occupations","6. Caring, leisure and other service occupations"

"Babergh","E07000200",255,67,38
"Basildon","E07000066",4392,1560,713
"Bedford","E06000055",4912,1233,1014
"Braintree","E07000067",1040,325,158
"Breckland","E07000143",397,78,55
"Brentwood","E07000068",925,328,108
"Broadland","E07000144",388,149,77
"Broxbourne","E07000095",3455,1008,431
"Cambridge","E07000008",1661,555,303
"Castle Point","E07000069",612,232,73
"Central Bedfordshire","E06000056",3787,1208,505
"Chelmsford","E07000070",2448,871,409
"Colchester","E07000071",2778,795,696
"Dacorum","E07000096",2201,588,322
"East Cambridgeshire","E07000009",428,125,62
"East Hertfordshire","E07000242",1082,374,121
"East Suffolk","E07000244",699,203,123
"Epping Forest","E07000072",2119,607,204
"Fenland","E07000010",370,103,58
"Great Yarmouth","E07000145",523,87,62
"Harlow","E07000073",2884,835,564
"Hertsmere","E07000098",2658,821,369
"Huntingdonshire","E07000011",1505,479,202
"Ipswich","E07000202",2455,508,478
"King's Lynn and West Norfolk","E07000146",472,179,57
"Luton","E06000032",11049,2472,2080
"Maldon","E07000074",146,48,14
"Mid Suffolk","E07000203",320,75,48
"North Hertfordshire","E07000099",1790,514,272
"North Norfolk","E07000147",80,13,25
"Norwich","E07000148",1383,376,367
"Peterborough","E06000031",4159,1083,795
"Rochford","E07000075",362,152,31
"South Cambridgeshire","E07000012",1203,468,172
"South Norfolk","E07000149",570,273,92
"Southend-on-Sea","E06000033",2640,836,603
"St Albans","E07000240",1633,510,208
"Stevenage","E07000243",2291,748,392
"Tendring","E07000076",455,121,111
"Three Rivers","E07000102",1229,402,146
"Thurrock","E06000034",10220,3356,1293
"Uttlesford","E07000077",413,113,60
"Watford","E07000103",3469,836,535
"Welwyn Hatfield","E07000241",3362,908,592
"West Suffolk","E07000245",1542,341,158



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

