
"annual population survey - regional - employment by occupation (SOC2010)"
"ONS Crown Copyright Reserved [from Nomis on 25 March 2026]"
"Analysis   :","standard"
"Date       :","Jan 2019-Dec 2019"
"Sex        :","All persons"
"measure    :","Count"
"Confidence :","95% confidence interval (+/-)"

"Occupation","North East","Conf","North West","Conf","Yorkshire and The Humber","Conf","East Midlands","Conf","West Midlands","Conf","East","Conf","London","Conf","South East","Conf","South West","Conf","Wales","Conf","Scotland","Conf","Northern Ireland","Conf"

"Total",1194500,27200,3458400,55400,2575100,51200,2359500,58800,2773300,54300,3085700,64800,4664800,91100,4631500,74500,2780700,53100,1457800,25100,2660100,41500,866800,24200
"1 Managers, directors and senior officials",106900,8100,355900,17800,260100,16300,254700,19300,286000,17400,386000,22900,630800,33500,618300,27200,329200,18300,138500,7700,249000,12700,69300,6800
"11 Corporate managers and directors",70400,6600,257900,15100,185700,13700,185700,16500,213400,15100,272700,19300,473000,29000,468300,23700,210000,14600,90400,6300,169300,10500,43100,5400
"111 Chief Executives and Senior Officials",2600,1300,7500,2600,4800,2200,4500,2600,6100,2600,10500,3800,38500,8300,23100,5300,6000,2500,2500,1100,5900,2000,1900,1100
"1115 Chief executives and senior officials",2400,1200,6500,2400,4200,2100,4500,2600,4900,2300,8500,3400,35400,7900,21900,5100,5000,2200,1800,900,4800,1800,1500,"*"
"1116 Elected officers and representatives","~","!",1000,"*",700,"*","!","!",1200,"*",2000,"*",3100,"*",1100,"*",1000,"*",700,"*",1100,800,"~","*"
"112 Production Managers and Directors",17400,3300,57500,7100,46900,6900,44600,8100,52300,7500,62700,9200,57100,10100,79800,9800,52900,7300,21600,3100,40000,5100,9200,2500
"1121 Production managers and directors in manufacturing",10000,2500,37300,5800,27500,5300,30300,6700,37400,6300,33600,6800,23500,6500,44500,7300,26400,5200,13100,2400,23400,3900,6000,2000
"1122 Production managers and directors in construction",6600,2000,17500,3900,17800,4300,12600,4300,13600,3800,28100,6200,31900,7500,32200,6200,25400,5100,8000,1900,12900,2900,3100,1400
"1123 Production managers and directors in mining and energy",800,"*",2700,1600,1600,"*",1700,"*",1300,"*",1000,"!",1700,"*",3100,"*",1100,"*",600,"*",3700,1500,"~","!"
"113 Functional Managers and Directors",26600,4100,98600,9300,76100,8800,70400,10200,89800,9800,124800,13000,268000,21800,243000,17100,87600,9400,32900,3800,64400,6500,13900,3100
"1131 Financial managers and directors",7100,2100,27600,4900,21800,4700,22100,5700,26800,5300,34200,6800,81200,12000,66400,8900,32600,5700,9400,2000,20400,3600,2800,1400
"1132 Marketing and sales directors",5600,1900,23000,4500,12800,3600,16400,4900,23500,5000,27000,6100,65800,10800,61500,8600,18300,4300,3900,1300,9200,2400,3100,1400
"1133 Purchasing managers and directors",2000,1100,6200,2300,3300,1800,5000,2700,6900,2700,6700,3000,11900,4600,9700,3400,5500,2400,2600,1100,4000,1600,800,"*"
"1134 Advertising and public relations directors",1100,"*",2100,1400,3300,1800,1300,"*",600,"!",1800,"*",21600,6200,9100,3300,1300,"*",1000,"*",1400,"*","!","!"
"1135 Human resource managers and directors",5500,1800,21400,4400,13800,3700,12000,4200,15300,4000,27400,6100,33700,7700,49500,7700,14100,3800,7500,1800,13000,2900,4100,1700
"1136 Information technology and telecommunications directors",2100,1100,9100,2800,12500,3600,8100,3500,6500,2600,16600,4800,24100,6600,23200,5300,8400,2900,2800,1100,6300,2000,700,"*"
"1139 Functional managers and directors n.e.c.",3200,1400,9200,2900,8600,3000,5500,2800,10100,3300,11100,3900,29600,7300,23600,5300,7500,2800,5900,1600,10000,2600,2400,1300
"115 Financial Institution Managers and Directors",800,"*",7800,2600,4200,2100,6300,3000,7000,2700,7900,3300,24700,6600,13400,4000,4300,2100,2700,1100,6100,2000,2500,1300
"1150 Financial institution managers and directors",800,"*",7800,2600,4200,2100,6300,3000,7000,2700,7900,3300,24700,6600,13400,4000,4300,2100,2700,1100,6100,2000,2500,1300
"116 Managers and Directors in Transport and Logistics",5100,1800,22700,4500,13600,3700,23100,5800,18500,4400,17300,4900,20100,6000,32700,6300,14600,3900,8700,1900,14400,3100,5300,1900
"1161 Managers and directors in transport and distribution",2400,1200,8300,2700,5700,2400,11700,4100,8000,2900,5100,2600,6700,3500,17000,4500,5400,2300,3000,1100,7000,2100,2600,1300
"1162 Managers and directors in storage and warehousing",2700,1300,14400,3600,7900,2800,11400,4100,10600,3400,12200,4100,13300,4900,15700,4300,9200,3100,5700,1600,7400,2200,2700,1400
"117 Senior Officers in Protective Services",1400,900,3100,1700,3700,1900,3500,2300,3900,2000,6500,3000,2100,"*",11700,3800,8100,2900,1600,800,5800,1900,"~","!"
"1171 Officers in armed forces",1000,"*",1400,"*",2100,"*",2000,"*",2900,"*",2400,"*",1600,"*",6700,2800,7000,2700,800,"*",2700,1300,"!","!"
"1172 Senior police officers","~","!",900,"*",1000,"*",1200,"*",600,"*",1600,"*",500,"!",1700,"*",500,"*","~","!",1800,"*","~","!"
"1173 Senior officers in fire, ambulance, prison and related services","~","!",800,"*",600,"!","~","!",500,"!",2500,"*","!","!",3400,"*",500,"!",700,"*",1400,"*","!","!"
"118 Health and Social Services Managers and Directors",4200,1600,15800,3700,9800,3200,9600,3700,8300,3000,10400,3800,11900,4600,13100,4000,8200,2900,5600,1600,7000,2100,3400,1500
"1181 Health services and public health managers and directors",2800,1300,10200,3000,6500,2600,7600,3300,6000,2500,6200,2900,8100,3800,9900,3500,6200,2500,3000,1100,4700,1700,2500,1300
"1184 Social services managers and directors",1400,"*",5600,2200,3200,1800,1900,"*",2400,"*",4200,2400,3800,2600,3100,1900,2100,"*",2500,1000,2300,1200,900,"*"
"119 Managers and Directors in Retail and Wholesale",12400,2800,45000,6300,26700,5200,23700,5900,27300,5400,32600,6700,50600,9500,51600,7900,28200,5300,14700,2500,25500,4100,6500,2100
"1190 Managers and directors in retail and wholesale",12400,2800,45000,6300,26700,5200,23700,5900,27300,5400,32600,6700,50600,9500,51600,7900,28200,5300,14700,2500,25500,4100,6500,2100
"12 Other managers and proprietors",36400,4800,98000,9300,74300,8700,69000,10100,72600,8800,113400,12400,157800,16800,150000,13400,119200,11000,48100,4600,79700,7200,26200,4200
"121 Managers and Proprietors in Agriculture Related Services",900,"*",1800,"*",2800,"*",3300,"*",3600,2000,6700,3000,900,"*",5600,2600,2800,"*",2100,900,4300,1700,1700,1100
"1211 Managers and proprietors in agriculture and horticulture","~","!",1800,"*",1800,"*",2000,"*",2700,1700,4900,2600,900,"*",3900,2200,1300,"*",1200,700,1900,1100,1600,1000
"1213 Managers and proprietors in forestry, fishing and related services","~","*","!","!",1000,"*",1200,"*",900,"*",1800,"*","!","!",1700,"*",1500,"*",900,600,2300,1200,"~","!"
"122 Managers and Proprietors in Hospitality and Leisure Services",12500,2800,27200,4900,20300,4500,19500,5300,19800,4600,32800,6700,47700,9200,35300,6500,39300,6300,17700,2800,31200,4500,5300,1900
"1221 Hotel and accommodation managers and proprietors",2600,1300,3500,1800,3600,1900,2400,"*",1300,"*",9100,3500,5600,3200,3500,2100,11400,3400,5100,1500,9300,2500,900,"*"
"1223 Restaurant and catering establishment managers and proprietors",5300,1800,13500,3500,8100,2900,8000,3400,12100,3600,14800,4500,29000,7200,16400,4400,17200,4200,6600,1700,10600,2600,2500,1300
"1224 Publicans and managers of licensed premises",1600,"*",3700,1800,3900,2000,6100,3000,2400,1600,2500,"*",3900,"*",5100,2500,4200,2100,1700,800,3600,1500,900,"*"
"1225 Leisure and sports managers",2300,1200,5600,2200,4500,2100,3000,"*",3900,2000,5700,2800,8100,3800,9500,3400,5400,2300,3800,1300,6900,2100,800,"*"
