"year","iso2","change_id","iso3","country_full_name","summary","change_mag","change_level","pol_area","pol_tool","target_group","target_origin","target_specific","change_restrict","u_complab_country_year_change_country","u_complab_country_year_change_country_code","u_complab_country_year_change_year","u_complab_country_year_change_change"
1721,"RU","RU1721001","RUS","Russia","practically no requirements for naturalisation",0,4,3,21,2,2,"Non applicable",-1,"Russia","RUS",1721,"RU1721001"
1763,"RU","RU1763001","RUS","Russia","migration department to attract migrants from Europe",0,3,2,26,2,5,"Western Europe",-1,"Russia","RUS",1763,"RU1763001"
1790,"US","US1790001","USA","United States","naturalisation restricted to white people",0,3,3,21,2,2,"Non-white people",1,"United States","USA",1790,"US1790001"
1790,"US","US1790002","USA","United States","naturalisation after two years",0,3,3,21,2,2,"White people",-1,"United States","USA",1790,"US1790002"
1793,"FR","FR1793001","FRA","France","right of asylum enshrined in constitution",0,4,2,9,12,2,"Non applicable",-1,"France","FRA",1793,"FR1793001"
1795,"US","US1795001","USA","United States","residency requirement for naturalisation raised",0,1,3,21,2,2,"White people",1,"United States","USA",1795,"US1795001"
1798,"US","US1798001","USA","United States","deportation of dangerous people allowed",0,4,4,24,2,2,"Non applicable",1,"United States","USA",1798,"US1798001"
1798,"US","US1798002","USA","United States","stricter requirements for citizenship",0,1,3,21,2,2,"White people",1,"United States","USA",1798,"US1798002"
1804,"FR","FR1804001","FRA","France","Civil code consecrates ius sanguinis",0,4,3,21,1,1,"Non applicable",-1,"France","FRA",1804,"FR1804001"
1812,"AR","AR1812001","ARG","Argentina","first immigration decree enshrines open borders policy",0,4,2,9,2,2,"Non applicable",-1,"Argentina","ARG",1812,"AR1812001"
1821,"MX","MX1821001","MEX","Mexico","after independence, call for settlers",999,999,2,28,2,5,"Europe",999,"Mexico","MEX",1821,"MX1821001"
1822,"BR","BR1822001","BRA","Brazil","independence from Portugal",999,999,999,28,999,999,"Non applicable",999,"Brazil","BRA",1822,"BR1822001"
1824,"MX","MX1824001","MEX","Mexico","recruitment of colonizers launched",0,4,2,14,2,2,"Non applicable",-1,"Mexico","MEX",1824,"MX1824001"
1824,"BR","BR1824001","BRA","Brazil","assisted migration for european migrants",0,3,2,14,2,5,"Europe",-1,"Brazil","BRA",1824,"BR1824001"
1824,"CL","CL1824001","CHL","Chile","socio-economic advantages granted to European settlers",0,3,2,14,3,5,"Europe",-1,"Chile","CHL",1824,"CL1824001"
1827,"MX","MX1827001","MEX","Mexico","expulsion of spanish irregular migrants",0,3,4,24,11,5,"Spain",1,"Mexico","MEX",1827,"MX1827001"
1829,"MX","MX1829001","MEX","Mexico","expulsion of spanish irregular migrants reinforced",0,1,4,24,11,5,"Spain",1,"Mexico","MEX",1829,"MX1829001"
1830,"MX","MX1830001","MEX","Mexico","US citizens prohibited to become colonizers",0,3,3,20,2,5,"USA",1,"Mexico","MEX",1830,"MX1830001"
1830,"MX","MX1830002","MEX","Mexico","European migration encouraged",0,3,2,14,2,5,"Europe",-1,"Mexico","MEX",1830,"MX1830002"
1840,"NZ","NZ1840001","NZL","New Zealand","Treaty giving UK authority over NZ",999,999,999,28,999,999,"Non applicable",999,"New Zealand","NZL",1840,"NZ1840001"
1840,"NZ","NZ1840002","NZL","New Zealand","recruitment of British settlers by Wellington",999,999,2,14,2,5,"UK",999,"New Zealand","NZL",1840,"NZ1840002"
1845,"CL","CL1845001","CHL","Chile","law to encourage European migration",0,1,2,14,3,5,"Europe",-1,"Chile","CHL",1845,"CL1845001"
1845,"CL","CL1845002","CHL","Chile","law to encourage European settlement",0,3,3,18,3,5,"Europe",-1,"Chile","CHL",1845,"CL1845002"
1845,"CL","CL1845003","CHL","Chile","naturalisation of immigrants",0,3,3,21,2,5,"Europe",-1,"Chile","CHL",1845,"CL1845003"
1848,"FR","FR1848001","FRA","France","restricted working rights for foreigners",0,4,2,8,3,2,"Non applicable",1,"France","FRA",1848,"FR1848001"
1848,"FR","FR1848002","FRA","France","shorter residency requirements for naturalisation",0,2,3,21,2,2,"Non applicable",1,"France","FRA",1848,"FR1848002"
1848,"FR","FR1848003","FRA","France","eased working rights for foreigners",0,2,2,8,3,2,"Non applicable",-1,"France","FRA",1848,"FR1848003"
1848,"CH","CH1848001","CHE","Switzerland","bilateral treaties as basis for freedom of movement",1,3,2,16,2,5,"Those with establishment agreements",-1,"Switzerland","CHE",1848,"CH1848001"
1849,"FR","FR1849001","FRA","France","expulsion of migrants allowed",0,4,4,24,2,2,"Non applicable",1,"France","FRA",1849,"FR1849001"
1849,"FR","FR1849002","FRA","France","longer residency requirements for naturalisation",0,2,3,21,2,2,"Non applicable",1,"France","FRA",1849,"FR1849002"
1850,"CN","CN1850001","CHN","China","emigration starts mid 19th century",999,999,4,28,4,4,"Non applicable",999,"China","CHN",1850,"CN1850001"
1851,"CL","CL1851001","CHL","Chile","extension of land available for settlement",0,1,2,14,3,5,"Europe",-1,"Chile","CHL",1851,"CL1851001"
1852,"ES","ES1852001","ESP","Spain","liberal status of foreigners in Spain regulated",0,4,3,20,2,2,"Non applicable",-1,"Spain","ESP",1852,"ES1852001"
1853,"ES","ES1853001","ESP","Spain","emigration possibilities widened to new destinations",0,4,4,25,2,4,"Non applicable",-1,"Spain","ESP",1853,"ES1853001"
1853,"ES","ES1853002","ESP","Spain","health requirements for ships transporting emigrants",0,4,4,4,2,4,"Non applicable",1,"Spain","ESP",1853,"ES1853002"
1853,"AR","AR1853001","ARG","Argentina","state is not granted power to restrict labour migration",0,4,2,8,3,2,"Non applicable",-1,"Argentina","ARG",1853,"AR1853001"
1853,"AR","AR1853002","ARG","Argentina","foreigners have same socio-economic rights as citizens",0,4,3,18,2,2,"Non applicable",-1,"Argentina","ARG",1853,"AR1853002"
1854,"NZ","NZ1854001","NZL","New Zealand","provinces created attractive immigration schemes",999,999,2,14,2,2,"Non applicable",999,"New Zealand","NZL",1854,"NZ1854001"
1854,"MX","MX1854001","MEX","Mexico","stay permit introduced",0,4,2,9,2,2,"Non applicable",1,"Mexico","MEX",1854,"MX1854001"
1854,"MX","MX1854002","MEX","Mexico","no access to political rights for foreigners",0,4,3,19,2,2,"Non applicable",1,"Mexico","MEX",1854,"MX1854002"
1856,"GR","GR1856001","GRC","Greece","ius sanguinies as main principle",0,4,3,21,1,1,"Non applicable",-1,"Greece","GRC",1856,"GR1856001"
1861,"IT","IT1861001","ITA","Italy","a century of emigration 1870 - 1970",999,999,4,28,3,4,"Non applicable",999,"Italy","ITA",1861,"IT1861001"
1861,"MX","MX1861001","MEX","Mexico","registration of aliens introduced",0,4,1,1,2,2,"Non applicable",1,"Mexico","MEX",1861,"MX1861001"
1863,"AT","AT1863001","AUT","Austria","no rights for migrants in destination municipality",0,4,3,20,2,1,"Non applicable",1,"Austria","AUT",1863,"AT1863001"
1863,"ES","ES1863001","ESP","Spain","Latin Americans with Hispanic origin have equal rights as Spanish nationals",1,3,2,16,2,5,"Latin Americans of Hispanic origin",-1,"Spain","ESP",1863,"ES1863001"
1864,"RU","RU1864001","RUS","Russia","5 year residency requirement introduced for naturalisation",0,4,3,21,2,2,"Non applicable",1,"Russia","RUS",1864,"RU1864001"
1866,"NZ","NZ1866001","NZL","New Zealand","naturalisation possible",0,4,3,21,2,2,"Non applicable",-1,"New Zealand","NZL",1866,"NZ1866001"
1867,"CA","CA1867001","CAN","Canada","Immigration key since independence of Canada",999,999,2,28,2,2,"Non applicable",999,"Canada","CAN",1867,"CA1867001"
1867,"CA","CA1867002","CAN","Canada","Immigration as shared jurisdiction",0,4,2,26,2,2,"Non applicable",9,"Canada","CAN",1867,"CA1867002"
1867,"AT","AT1867001","AUT","Austria","emigration facilitated",0,4,4,25,2,4,"Non applicable",-1,"Austria","AUT",1867,"AT1867001"
1867,"NZ","NZ1867001","NZL","New Zealand","prohibition of entry of criminals",0,3,2,13,14,2,"Non applicable",1,"New Zealand","NZL",1867,"NZ1867001"
1867,"FR","FR1867001","FRA","France","shorter residency requirements for naturalisation",0,2,3,21,2,2,"Non applicable",-1,"France","FRA",1867,"FR1867001"
1868,"US","US1868001","USA","United States","restauration of citizenship by birth",0,3,3,21,1,1,"Non-white people",-1,"United States","USA",1868,"US1868001"
1869,"CA","CA1869001","CAN","Canada","Start of open immigration policy",0,4,2,14,3,2,"Non applicable",-1,"Canada","CAN",1869,"CA1869001"
1869,"CA","CA1869002","CAN","Canada","Assisted immigration and reception",0,4,3,17,3,2,"Non applicable",-1,"Canada","CAN",1869,"CA1869002"
1869,"CA","CA1869003","CAN","Canada","Prohibition of entry to certain categories",0,3,2,13,14,2,"Non applicable",1,"Canada","CAN",1869,"CA1869003"
1869,"CA","CA1869004","CAN","Canada","New immigration office overseas",0,3,2,26,2,5,"UK, Europe, US",-1,"Canada","CAN",1869,"CA1869004"
1869,"AR","AR1869001","ARG","Argentina","ius soli laid down",0,4,3,21,1,1,"Non applicable",-1,"Argentina","ARG",1869,"AR1869001"
