Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/24/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16480446.93,4692737.43,4301675.978,3687150.838,4972067.039,7206703.911,10000000,11620111.73,27391061.45,43743016.76,39111731.84,45960893.85,47636871.51,49072625.7,61930744.94,71864171.25,73072625.7,75642458.1,72960893.85,64916201.12,63910614.53,67821229.05,96600635.73,101055321.9,101227532.4,98053343.88,108045584.6,111650956.9,112627597.6,101762567.2,111331648.7,110361038.3,116053861.3,,
Africa Eastern and Southern,AFE,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,236599899.3,283822326.7,279514373.8,423839386,586474731.5,713899293.5,683551300.4,775546409.3,927359302.2,1116684897,1423632252,1435132461,1246417321,1336160840,1134294483,955028050.6,1138884724,1281708230,1292323126,1373341370,1531273834,1182024793,1111638543,977299861.6,943491721.6,1118429582,906140765,1138290562,1182221150,1535911819,1679660277,1467470662,1447000638,1594327556,1797249967,1896043888,2115442387,2513039712,2760142160,2922784448,3162757336,3993999311,5297552971,5726217719,6397275164,5086999108,4367668248,4629467027,5056366548,4862393351,4930019869,5215700490,6658748600,6532030268,5789717449,
Afghanistan,AFG,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216603835.9,624996676.8,788698416.8,454083462,323642538.3,444730790.5,524163478.5,228991809.2,167894464.3,143979106.2,234618700.6,217292318,225420606.5,,,,,
Africa Western and Central,AFW,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,66571205.38,316663083.1,411576879.9,707827702.3,999102012.2,1479642627,1921705599,1472711851,1380184979,1363155740,1224842870,1213010759,1388437271,1356902228,1334993140,1106903164,1243457420,1225759503,1320336792,1223395342,932485683.2,874126821,962138138,897535152.4,920778220.4,862537309.2,726586260.6,742874610.3,939073061.1,1149173591,1167618464,1396177601,1370475668,1616423129,1798809758,1941660245,2197706934,2320543685,2801869516,2951823433,2963446305,6049161329,4995314480,3922327098,3928024906,3631313134,3759724951,3502342150,4063664202,4611074155,4305668164,
Angola,AGO,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,79000000,89000000,77000000,71000000,104000000,150000000,124500000,121637000,132900000,148900000,209546000,173802000,179950000,201650000,263070000,266290000,216060000,223507959.1,229849970,296009591.2,214905215.9,412666785,602671451.3,669453676,715962015.8,714458886,564261541.6,2051320868,2395965856,2746615873,1252909012,1176110314,961415276.2,681627015.5,549082042.6,576471436.8,445400143.8,517668187.4,434161570,419534481.9,
Albania,ALB,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4135728.07,4863740.36,6511798.046,26532132.03,9940000,279685288.7,229819782.3,209306821.6,150855105.3,215775643.9,190551293.6,178722842.2,153312400.5,147156757.4,106330982.9,114879336.9,119679640.8,124630375.7,140344309.7,149489653.2,178276905.2,205314880.6,
Andorra,AND,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91484853.44,83804274.98,70514090.7,123883259.2,164794178.6,140043306.1,
Arab World,ARB,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,207273315.4,267808471.7,391195251.5,629195808.4,1376642801,1939672279,3525187311,5205466032,6091302765,7072544827,8910686520,9203241464,9690140968,9212341103,9275799435,8410995231,8251911311,9921022722,12037563949,13914198647,16142240140,16642573420,19441171179,21969647621,20686266649,19447665639,19396284600,19382478424,18531619441,20426443036,20784032006,23920666800,24919634711,24612476301,26087047074,29612133138,36448770052,45708542136,53500976466,54239338856,67661826415,74494429135,85596649517,87003954094,86616836930,84701681208,81955127495,80931765314,81598928001,79264118678,85987523328,87545112786,83986856600,86223062230,
United Arab Emirates,ARE,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,16000000,28000000,36000000,27000000,18000000,19000000,22000000,18000000,20000000,21000000,45360000.61,69720001.22,94080001.83,118440002.4,142800000,163100000,176600000,195200000,207300000,231700000,246500000,250300000,267700000,256100000,119550000,180410000,234470000,314010000,356443536.6,463192097.3,631436069.1,766571548.3,1037765446,1137054506,979205922.3,887803486.6,732414557.1,685001365.9,769242058,1060484530,1010375536,669932291.4,521040572.5,601996355.7,584773181.2,520192215.1,569566511.9,
